,a,b,c,d,g,rD,rI,I_max,E,I,M,D,D.zscore,M.zscore,I.zscore
0,14.07157711140107,2.6488143000076168,4.240541103450275,0,3.4048789855854644,1.0156857755223812,0.1,10.78195016049704,30.950960887963316,6.5717671692064,0.29672229183775617,20.21645061666739,0.9101852083318978,0.04266753104362799,0.8906904968880139
1,7.602187888377502,6.56324988607413,4.7669840256257,0,0.06497829100560182,0.8756627363517646,0.1,8.79560681014254,9.693109665681606,5.721709536088021,0.2129430320201184,0.36874918418652797,-1.3719227532476679,-0.5593526601297524,0.2612348871457705
2,9.098460491035754,4.251777027602556,4.097857913793102,0,4.430969281786781,0.961787793942526,0.1,6.561548395829192,28.818238530503127,4.728491569868732,0.24353374615203988,20.142595784864287,0.9016933081371902,-0.3395342037490661,-0.47422891692602903
3,10.222548848989524,2.4498969615235335,4.7389357605293165,0,2.9834125828136293,1.0582408597351902,0.1,4.344299054131284,16.71860001076763,3.336550937888544,0.33319640348129326,9.049085633938326,-0.37384924894003113,0.3047628480984421,-1.50494119465
4,6.633230914122784,3.6231800105890137,2.8539644559832755,0,3.154106550659716,1.1342994236489634,0.1,9.293060189202484,26.26808173675473,5.972400949106873,0.2267519624645603,15.658483093052002,0.3861056815590282,-0.4601245819137562,0.4468683196226373
5,9.006196718717844,6.370579243725371,3.0161470697698065,0,0.08224376615687257,0.8040636058326747,0.1,7.002957030146775,9.673607130401722,5.816625671644019,0.23785256148814804,0.5407270354270047,-1.3521485731056313,-0.3803580053067805,0.3315189380772418
6,8.997328842426207,5.842331914432678,2.177602535941627,0,0.4189293503599162,1.1303778313964314,0.1,8.349523180034934,14.265105567047026,7.121126382817578,0.2491365399410472,2.5224678586437226,-1.1242860911031085,-0.2992737025784277,1.2974831957578647
7,3.7358270809637375,3.90681371223198,4.600808328215196,0,2.6307645437808653,1.0879938655489971,0.1,5.58901627730933,15.257324271409898,3.3171784391101276,0.20807663640630544,7.488170370103781,-0.5533247999536293,-0.5943215584481427,-1.5192862549796928
9,10.801495547758648,3.257484484613744,3.6539585364719214,0,4.091477380290472,0.8533223528954932,0.1,4.774860143722352,26.217117902596442,4.078510428303313,0.341716797404762,18.625318062711152,0.7272352439914634,0.3659886119670229,-0.955530724997722
10,7.123713078099721,6.887172145574458,3.5275861652998204,0,1.419860352594402,1.041640753499349,0.1,9.127346276883145,18.80778450548103,6.505970482265872,0.21399962448994106,8.03525100921776,-0.4904209374386038,-0.5517602082262674,0.8419689842709959
11,8.485355216412836,1.6732767107901971,4.441805236836081,0,1.9983284165799113,0.9581618181576915,0.1,5.019527510247206,13.67394019041526,3.2555869187644517,0.3172946197194391,6.485705999020044,-0.6685891256606938,0.19049596484897025,-1.5648939014305778
12,10.515898122590254,6.334143373415255,3.1639683992322034,0,0.5999936955452662,1.013570746297909,0.1,6.380328801808094,12.769910554561429,5.5296659706382485,0.25645674757826037,3.0859615987315427,-1.0594950343185587,-0.24667222566425553,0.11902935321766489
13,8.21593075442506,6.145653240560195,2.427994016378917,0,2.514354649634243,1.0858199874086965,0.1,8.735458750327409,26.930498906231307,7.077179609353163,0.23208373792829046,15.410039347243357,0.3575393786930096,-0.4218115615916,1.2649412338843273
14,8.27175276398236,2.3463304356237664,3.149243137994259,0,4.775107859092613,0.9629114222821149,0.1,6.184237840152545,29.435254017203363,4.441614188992839,0.292897179236509,21.041994139082064,1.0051070032582272,0.015181074079517456,-0.6866575448980643
15,4.640275762527628,3.096152405007875,2.144149983849957,0,1.329484366643972,1.0161811305108686,0.1,7.781965119404543,15.933509061827857,5.235788463706729,0.2243421013893054,6.532996076077654,-0.6631516667325648,-0.47744133821339607,-0.09858276872342346
16,10.663740935675664,4.417359320352599,2.904409439558048,0,3.9541581561928667,1.0473565567493046,0.1,7.299984211352074,31.892606554010378,6.018298203592203,0.2783205716809752,21.584882123420957,1.0675287902606334,-0.08956337086238385,0.48085458500275824
