,a,b,c,d,g,rD,rI,I_max,E,I,M,D,D.zscore,M.zscore,I.zscore
0,1.407157711140107,2.6488143000076168,0.42405411034502755,8.51219746396366,0,1.0156857755223812,0.1,10.78195016049704,12.28117141467875,6.5717671692064,0.29672229183775617,1.5466611433828252,0.30113043816868623,0.04266753104362799,0.8906904968880139
1,0.7602187888377502,6.56324988607413,0.47669840256256996,0.16244572751400455,0,0.8756627363517646,0.1,8.79560681014254,9.340706127086948,5.721709536088021,0.2129430320201184,0.016345645591867915,-1.1174560683691181,-0.5593526601297524,0.2612348871457705
2,0.9098460491035754,4.251777027602556,0.4097857913793102,11.077423204466951,0,0.961787793942526,0.1,6.561548395829192,10.399040551517041,4.728491569868732,0.24353374615203988,1.7233978058782051,0.4649634810859057,-0.3395342037490661,-0.47422891692602903
3,1.0222548848989523,2.4498969615235335,0.47389357605293164,7.4585314570340735,0,1.0582408597351902,0.1,4.344299054131284,9.529429495351904,3.336550937888544,0.33319640348129326,1.8599151185225982,0.5915136061455377,0.3047628480984421,-1.50494119465
4,0.6633230914122784,3.6231800105890137,0.28539644559832755,7.88526637664929,0,1.1342994236489634,0.1,9.293060189202484,11.637748960128837,5.972400949106873,0.2267519624645603,1.0281503164261117,-0.1795236907846818,-0.4601245819137562,0.4468683196226373
5,0.9006196718717844,6.370579243725371,0.3016147069769807,0.20560941539218142,0,0.8040636058326747,0.1,7.002957030146775,9.167287027599507,5.816625671644019,0.23785256148814804,0.03440693262478992,-1.1007134436537607,-0.3803580053067805,0.3315189380772418
6,0.8997328842426207,5.842331914432678,0.21776025359416268,1.0473233758997904,0,1.1303778313964314,0.1,8.349523180034934,11.906610239163921,7.121126382817578,0.2491365399410472,0.1639725307606178,-0.9806074854429837,-0.2992737025784277,1.2974831957578647
7,0.37358270809637373,3.90681371223198,0.4600808328215196,6.576911359452163,0,1.0879938655489971,0.1,5.58901627730933,8.501971150129402,3.3171784391101276,0.20807663640630544,0.7328172488232856,-0.45329436437490384,-0.5943215584481427,-1.5192862549796928
9,1.0801495547758648,3.257484484613744,0.3653958536471921,10.22869345072618,0,0.8533223528954932,0.1,4.774860143722352,10.702726590236356,4.078510428303313,0.341716797404762,3.11092675035107,1.7511883418425105,0.3659886119670229,-0.955530724997722
10,0.712371307809972,6.887172145574458,0.352758616529982,3.549650881486005,0,1.041640753499349,0.1,9.127346276883145,11.134938680263948,6.505970482265872,0.21399962448994106,0.3624051840006798,-0.7966624853765338,-0.5517602082262674,0.8419689842709959
11,0.8485355216412837,1.6732767107901971,0.4441805236836081,4.995821041449778,0,0.9581618181576915,0.1,5.019527510247206,8.48287307933963,3.2555869187644517,0.3172946197194391,1.2946388879444128,0.0675084357592245,0.19049596484897025,-1.5648939014305778
12,1.0515898122590255,6.334143373415255,0.3163968399232203,1.4999842388631655,0,1.013570746297909,0.1,6.380328801808094,9.937165516052778,5.5296659706382485,0.25645674757826037,0.2532165602228929,-0.8978792008722558,-0.24667222566425553,0.11902935321766489
13,0.8215930754425059,6.145653240560195,0.24279940163789168,6.285886624085607,0,1.0858199874086965,0.1,8.735458750327409,12.375882280354455,7.077179609353163,0.23208373792829046,0.8554227213665071,-0.33964037000016745,-0.4218115615916,1.2649412338843273
14,0.827175276398236,2.3463304356237664,0.31492431379942587,11.937769647731534,0,0.9629114222821149,0.1,6.184237840152545,11.17968474137975,4.441614188992839,0.292897179236509,2.7864248632584525,1.4503784767917134,0.015181074079517456,-0.6866575448980643
15,0.46402757625276275,3.096152405007875,0.21441499838499573,3.32371091660993,0,1.0161811305108686,0.1,7.781965119404543,9.92076548570961,5.235788463706729,0.2243421013893054,0.5202524999594073,-0.6503396696986599,-0.47744133821339607,-0.09858276872342346
16,1.0663740935675663,4.417359320352599,0.2904409439558048,9.885395390482167,0,1.0473565567493046,0.1,7.299984211352074,12.182320126142907,6.018298203592203,0.2783205716809752,1.8745956955534848,0.6051223479469944,-0.08956337086238385,0.48085458500275824
