,a,b,c,d,g,rD,rI,I_max,E,I,M,D,D.zscore,M.zscore,I.zscore
0,5.228924868121871,5.511721366853245,4.421165957216338,3.1706851092676525,0.3,1.0106849283798793,0.1,7.546524282586266,14.710552474709496,4.701227181497053,1.1463793506821705,1.1653583981958733,-0.6269769681769648,-0.7818970839412828,-0.33491156536226524
1,7.339756376720343,1.3699919810192118,3.45340685611599,0.8995090801573955,0.3,0.8299532105420235,0.1,11.047724794755954,15.113254122277779,5.106303099381664,1.6683396163037165,1.4808350813463567,0.03138173994984181,0.5593082223760002,-0.016441133373004305
2,6.31522769432268,5.468942042090857,3.05510503022099,1.9085282855807386,0.3,1.233246629197234,0.1,5.170301736690741,14.930946378201176,4.4529809078696125,1.3398088560340038,0.9919980456730153,-0.9887574224012621,-0.2848694439785347,-0.5300826296277442
3,7.170395533492824,6.677655563034567,3.1287422423068723,2.061608734653888,0.3,0.9133352307915562,0.1,5.552043405084988,14.923068733115008,4.906137215060048,1.3494758338020783,1.3574533798286867,-0.2260997854880104,-0.26002961855014967,-0.17381142579205722
4,7.933968535989808,4.621357310172919,4.9435860727872285,3.350809592308675,0.3,0.854905996482606,0.1,8.891251718261804,15.39236688623568,5.200276152146207,1.2812737382203672,1.4721905960128425,0.013341826065370066,-0.4352786145388081,0.0574404216341703
5,6.615487611231301,2.725479652719401,2.3366383553950985,0.6561328279335337,0.3,0.6876008309430011,0.1,8.224598901188092,16.943558279948842,6.031444826914468,1.5683436910195447,2.0302653023478996,1.177970980371959,0.3023632508243158,0.710904711221467
6,6.503361390979814,5.034215310575719,4.667071686707628,0.0588744243230388,0.3,1.0015830008697157,0.1,4.9774892782502755,12.409333963170601,3.7056633783719146,1.2826358777494726,0.8916752029479109,-1.198118115789189,-0.4317785228944656,-1.1176232015164804
7,5.216153400079285,5.272292720688369,4.572826620280098,2.0266201293025716,0.3,0.7904712612948372,0.1,11.2547997274658,16.502700491813577,5.777883169323769,1.1292606283469122,1.6850491079866872,0.4575497895745111,-0.8258845725407843,0.5115546954255992
8,5.805316940305613,4.938701719231612,2.673165217811883,1.4209836671224028,0.3,0.8961733995772515,0.1,8.974729974419843,18.13769911601428,6.371341562578107,1.2251451166614056,1.7103223925490556,0.5102918395049183,-0.5795041620170459,0.9781313111235962
9,6.49964750247668,1.8815818941612612,3.048076202503937,1.1686615034271441,0.3,1.089857488364433,0.1,8.863616552879282,15.755285682488628,5.051468445542466,1.5494211180115558,1.192918837945964,-0.5694619235528224,0.25374066976008525,-0.059552103749489695
